Step,Price,Predicted Signal,Step Return,Trade Status
464,68960.51,[0.10922074],0.00021717386,Trade open
465,69263.99,[0.11484357],0.00036180601,Trade open
466,69274.01,[0.1185999],0.0027589542,Trade open
467,69440.01,[0.12199064],0.0044916067,Trade open
468,69559.99,[0.12837194],0.0035676307,Trade open
469,69496.01,[0.12766863],0.0054737967,Trade open
470,69628.01,[0.13173895],0.006022316,Trade open
471,69665.99,[0.13067918],0.004730893,Trade open
472,69576.56,[0.12992783],0.0060527767,Trade open
473,69668.1,[0.13079731],0.009343891,Trade open
474,69896.01,[0.13134599],0.0059641018,Trade open
475,69661.96,[0.12953474],0.0061684144,Trade open
476,69676.11,[0.1297338],0.0050692325,Trade open
477,69599.99,[0.13087857],0.004145144,Trade open
478,69536.0,[0.1282397],0.004607245,Trade open
479,69568.0,[0.12536779],0.0047532306,Trade open
480,69578.11,[0.12785771],0.0066578174,Trade open
481,69710.0,[0.1309515],0.0056470847,Trade open
482,69640.01,[0.12944601],0.0071612094,Trade closed
483,69744.86,[0.12793045],0.0,Trade initiated
484,69744.86,[0.13105461],-0.0007580084,Trade open
485,69691.99,[0.12958993],0.0009899923,Trade open
486,69813.91,[0.12966321],-0.0014625854,Trade open
487,69642.85,[0.12840481],-0.0016331848,Trade open
488,69630.95,[0.1286858],-0.001401425,Trade open
489,69647.12,[0.1259352],-0.0026668631,Trade open
490,69558.86,[0.12062525],-0.004472104,Trade open
491,69432.95,[0.10950947],-0.0017381434,Trade open
492,69623.63,[0.12452942],-0.0016468507,Trade open
493,69630.0,[0.12978543],-0.0019622862,Trade open
494,69608.0,[0.12841356],-0.0030903935,Trade open
495,69529.32,[0.12297779],-0.004097972,Trade open
496,69459.05,[0.11211846],-0.00093006407,Trade open
497,69679.99,[0.12849867],-0.005432188,Trade open
498,69365.99,[0.11489146],-0.008512052,Trade open
499,69151.19,[0.10060436],-0.0069020544,Trade open
500,69263.48,[0.1033546],-0.0056901597,Trade open
501,69348.0,[0.11480141],-0.0050424864,Trade open
502,69393.17,[0.12197451],-0.0039121388,Trade open
503,69472.01,[0.12624925],-0.0022493817,Trade closed
504,69587.98,[0.12670033],0.0,Trade initiated
505,69587.98,[0.13121966],-0.0019756914,Trade open
506,69450.49,[0.12951078],-0.002672651,Trade open
507,69401.99,[0.1252961],-0.0043394933,Trade open
508,69286.0,[0.11623035],-0.002371773,Trade open
509,69422.93,[0.12665908],-0.0018974408,Trade open
510,69455.94,[0.12926461],-0.0011205465,Trade open
511,69510.0,[0.1311222],-0.0009771803,Trade open
512,69519.98,[0.13106856],-0.00068943755,Trade open
513,69540.0,[0.13111386],-0.0017528397,Trade open
514,69466.0,[0.12980077],-0.0020977268,Trade open
515,69442.0,[0.12909567],-0.0016666178,Trade open
516,69472.0,[0.12619959],-0.0022126893,Trade open
517,69434.0,[0.12419915],-0.0059488546,Trade open
518,69174.01,[0.10122049],-0.0030642417,Trade open
519,69374.74,[0.11207379],-0.004089473,Trade open
520,69303.4,[0.11090512],-0.0061536315,Trade open
521,69159.76,[0.10619912],-0.0067439363,Trade open
522,69118.68,[0.10343007],-0.008303788,Trade open
523,69010.13,[0.10216621],-0.019485677,Trade open
524,68232.01,[0.09799504],-0.01973143,Trade closed
525,68214.91,[0.09471286],0.0,Trade initiated
526,68214.91,[0.09896787],0.00083696883,Trade open
527,68272.0,[0.09580067],0.002418597,Trade open
528,68379.89,[0.0989452],0.004895718,Trade open
529,68548.87,[0.10660566],0.0055281403,Trade open
530,68592.01,[0.1114503],0.003957163,Trade open
531,68484.84,[0.10848932],0.0031824973,Trade open
532,68432.0,[0.10735378],0.0038709235,Trade open
533,68478.96,[0.10971183],0.0052054008,Trade open
534,68569.99,[0.11819991],0.0035050074,Trade open
535,68454.0,[0.11346137],0.0026755973,Trade open
536,68397.42,[0.108479],0.0028134887,Trade open
