Action,Entry Step,Exit Step,Entry Price,Exit Price,ATR,TP Mult,SL Mult,Trade Return (%),Trade Type
0.246,2560,2577,152.090,151.149,0.665,2.000,1.000,-0.619,SL hit
0.234,2578,2593,150.990,150.298,0.629,2.000,1.000,-0.458,SL hit
0.244,2594,2609,150.060,149.449,0.600,2.000,1.000,-0.407,SL hit
0.228,2610,2612,149.310,148.697,0.630,2.000,1.000,-0.410,SL hit
0.273,2613,2617,148.150,149.417,0.754,2.000,1.000,0.855,TP hit
0.219,2618,2626,149.620,151.109,0.880,2.000,1.000,0.995,TP hit
0.244,2627,2630,151.660,153.421,0.842,2.000,1.000,1.161,TP hit
0.258,2631,2639,153.810,153.001,0.831,2.000,1.000,-0.526,SL hit
0.229,2640,2645,152.940,152.095,0.890,2.000,1.000,-0.553,SL hit
0.225,2646,2648,151.960,151.100,0.817,2.000,1.000,-0.566,SL hit
0.227,2649,2653,150.980,150.161,0.796,2.000,1.000,-0.542,SL hit
0.255,2654,2659,149.800,151.471,1.086,2.000,1.000,1.116,TP hit
0.216,2660,2662,151.740,153.974,1.151,2.000,1.000,1.472,TP hit
0.248,2663,2669,154.840,153.664,1.376,2.000,1.000,-0.760,SL hit
0.225,2670,2674,153.380,155.946,1.141,2.000,1.000,1.673,TP hit
0.227,2675,2684,156.410,158.646,1.096,2.000,1.000,1.429,TP hit
0.248,2685,2690,159.500,161.641,1.128,2.000,1.000,1.343,TP hit
0.252,2691,2692,161.750,160.613,1.170,2.000,1.000,-0.703,SL hit
0.233,2693,2696,160.410,159.397,0.974,2.000,1.000,-0.631,SL hit
0.236,2697,2706,159.090,158.108,0.875,2.000,1.000,-0.617,SL hit
0.218,2707,2713,158.020,160.004,1.434,2.000,1.000,1.256,TP hit
0.239,2714,2717,160.850,159.356,1.666,2.000,1.000,-0.929,SL hit
0.214,2718,2719,159.140,157.454,1.721,2.000,1.000,-1.059,SL hit
0.226,2720,2727,157.180,160.530,2.004,2.000,1.000,2.131,TP hit
0.242,2728,2781,163.950,161.964,1.350,2.000,1.000,-1.212,SL hit
0.268,2782,2800,160.410,159.161,0.898,2.000,1.000,-0.778,SL hit
0.252,2801,2808,158.870,157.982,0.940,2.000,1.000,-0.559,SL hit
0.271,2809,2814,157.760,159.740,1.301,2.000,1.000,1.255,TP hit
0.221,2815,2816,160.110,158.771,1.360,2.000,1.000,-0.836,SL hit
0.211,2817,2825,158.290,156.864,1.671,2.000,1.000,-0.901,SL hit
0.265,2826,2827,154.840,153.291,1.475,2.000,1.000,-1.001,SL hit
0.279,2828,2834,153.230,151.761,2.270,2.000,1.000,-0.958,SL hit
0.303,2835,2837,145.840,143.537,2.209,2.000,1.000,-1.579,SL hit
0.313,2838,2866,143.330,147.647,1.561,2.000,1.000,3.012,TP hit
0.218,2867,2868,147.750,146.142,1.574,2.000,1.000,-1.088,SL hit
0.213,2869,2914,146.000,144.376,0.944,2.000,1.000,-1.113,SL hit
0.265,2915,2922,144.030,143.077,1.085,2.000,1.000,-0.662,SL hit
0.257,2923,2930,142.580,144.661,0.809,2.000,1.000,1.460,TP hit
0.217,2931,2941,145.170,146.587,0.653,2.000,1.000,0.976,TP hit
0.243,2942,2943,147.370,146.712,0.649,2.000,1.000,-0.446,SL hit
0.220,2944,2946,146.480,145.826,0.760,2.000,1.000,-0.446,SL hit
0.224,2947,2949,145.330,144.551,0.851,2.000,1.000,-0.536,SL hit
0.229,2950,2953,144.340,146.054,0.906,2.000,1.000,1.188,TP hit
0.216,2954,2958,146.360,148.684,1.426,2.000,1.000,1.588,TP hit
0.241,2959,2959,148.740,151.546,1.403,2.000,1.000,1.886,TP hit
0.259,2960,2970,151.920,150.544,1.495,2.000,1.000,-0.906,SL hit
0.235,2971,2971,150.520,149.021,1.499,2.000,1.000,-0.996,SL hit
0.220,2972,2974,148.840,151.691,1.491,2.000,1.000,1.916,TP hit
0.232,2975,2981,151.800,154.763,1.498,2.000,1.000,1.952,TP hit
0.244,2982,3000,156.560,155.129,0.996,2.000,1.000,-0.914,SL hit
0.236,3001,3006,154.960,157.053,1.286,2.000,1.000,1.351,TP hit
0.222,3007,3023,157.070,155.774,1.660,2.000,1.000,-0.825,SL hit
0.291,3024,3025,153.000,151.319,1.699,2.000,1.000,-1.099,SL hit
0.286,3026,3055,150.720,148.935,1.326,2.000,1.000,-1.184,SL hit
0.240,3056,3056,148.850,147.501,1.349,2.000,1.000,-0.906,SL hit
0.274,3057,3059,147.500,146.133,1.553,2.000,1.000,-0.927,SL hit
0.283,3060,3064,146.020,149.156,1.547,2.000,1.000,2.147,TP hit
0.215,3065,3068,149.470,147.989,1.422,2.000,1.000,-0.991,SL hit
0.210,3069,3095,147.820,146.393,0.965,2.000,1.000,-0.965,SL hit
0.248,3096,3100,145.690,144.674,1.243,2.000,1.000,-0.698,SL hit
0.261,3101,3115,143.970,146.541,1.403,2.000,1.000,1.786,TP hit
0.224,3116,3125,147.460,146.019,1.002,2.000,1.000,-0.977,SL hit
0.215,3126,3149,145.690,144.708,0.857,2.000,1.000,-0.674,SL hit
0.251,3150,3162,143.950,145.696,0.917,2.000,1.000,1.213,TP hit
0.218,3163,3179,145.720,144.814,0.789,2.000,1.000,-0.622,SL hit
0.244,3180,3184,144.500,146.206,0.839,2.000,1.000,1.180,TP hit
0.216,3185,3190,146.430,148.154,0.811,2.000,1.000,1.178,TP hit
0.230,3191,3197,148.250,147.445,1.015,2.000,1.000,-0.543,SL hit
0.221,3198,3199,146.650,145.626,1.415,2.000,1.000,-0.698,SL hit
0.270,3200,3202,143.990,142.411,1.663,2.000,1.000,-1.097,SL hit
0.273,3203,3204,142.390,140.669,1.754,2.000,1.000,-1.209,SL hit
0.296,3205,3235,137.640,141.303,0.666,2.000,1.000,2.661,TP hit
0.217,3236,3245,141.640,140.972,0.904,2.000,1.000,-0.472,SL hit
0.216,3246,3248,140.690,139.761,1.008,2.000,1.000,-0.660,SL hit
0.237,3249,3255,139.590,138.532,1.480,2.000,1.000,-0.758,SL hit
0.260,3256,3260,137.710,135.999,1.921,2.000,1.000,-1.242,SL hit
0.269,3261,3261,135.320,133.309,2.011,2.000,1.000,-1.486,SL hit
0.296,3262,3292,132.740,130.689,2.072,2.000,1.000,-1.545,SL hit
0.296,3293,3311,127.930,131.930,1.589,2.000,1.000,3.127,TP hit
0.221,3312,3339,132.140,135.339,1.338,2.000,1.000,2.421,TP hit
0.230,3340,3340,135.530,134.122,1.408,2.000,1.000,-1.039,SL hit
0.211,3341,3346,133.880,132.382,2.019,2.000,1.000,-1.119,SL hit
0.231,3347,3348,131.530,135.659,2.084,2.000,1.000,3.139,TP hit
0.222,3349,3354,136.160,140.497,2.326,2.000,1.000,3.185,TP hit
0.243,3355,3358,141.680,146.160,1.881,2.000,1.000,3.162,TP hit
0.255,3359,3361,146.410,144.610,1.813,2.000,1.000,-1.229,SL hit
0.244,3362,3367,144.510,142.789,1.111,2.000,1.000,-1.191,SL hit
0.230,3368,3373,142.510,144.537,1.079,2.000,1.000,1.422,TP hit
0.235,3374,3377,145.490,144.395,1.185,2.000,1.000,-0.753,SL hit
